time,location,adjusted_level,adjusted_storage,ndwi_at,ndwi_up,ndwi_dn,ndwi_all,snow_at,snow_up,snow_dn,snow_all
2019-11-03,Hirakud,191.97,4.786,0.026309219638314035,0.021210543224407595,-0.008622346,0.016425060743359275,0.1979278660721071,0.10445927080449396,0.0,0.128172476968333
2019-11-04,Hirakud,191.96,4.782,-0.02682418044592748,-0.040679859079708294,-0.002274521,-0.023590790589945707,0.0,0.0,0.0,0.0
2019-11-05,Hirakud,191.94,4.771,0.029724910205439214,0.0105420266267475,0.043667255,0.029152261662366216,0.0,0.0,0.0,0.0
2019-11-06,Hirakud,191.94,4.771,-0.011930366261887877,-0.03375061580477675,0.010707474,-0.010874348761313593,0.005428956701324548,0.0,0.014130191,0.006464679953044747
2019-11-07,Hirakud,191.96,4.786,0.008148903360378741,-0.021849748444134266,0.036078554,0.0087964655899304,0.00037712733585730773,0.0,0.0,0.00020183838030821184
2019-11-08,Hirakud,191.99,4.802,0.008251035022154962,0.010452222785143982,0.056507831,0.020874609463106795,0.0,0.0,0.0,0.0
2019-11-09,Hirakud,192.01,4.818,0.009891216266578807,-0.032465533874723944,0.054029336,0.011990060185152454,0.0,0.0,0.0,0.0
2019-11-10,Hirakud,192.0,4.809,-0.011366865427246006,-0.032321803413962104,0.002913675,-0.012231637032535067,0.0,0.0,0.0,0.0
2019-11-11,Hirakud,191.99,4.806,-0.0437654446034559,-0.057105506173352,-0.011459531,-0.038468627997749166,0.0,0.0,0.0,0.0
2019-11-12,Hirakud,192.0,4.814,0.005040298023797211,-0.01574073429807307,0.022024143,0.00489346145569504,0.0,0.0,0.0,0.0
2019-11-13,Hirakud,191.98,4.794,-0.04782194366865306,-0.0569287676346028,-0.027705484,-0.04469405486997151,0.0,0.0,0.0,0.0
2019-11-14,Hirakud,191.98,4.794,-0.01327231965232044,-0.037317310117141914,0.014727544,-0.01133941269365903,0.0,0.0,0.0,0.0
2019-11-15,Hirakud,191.99,4.802,-0.04082939121205792,-0.049545840448970604,-0.020997853,-0.03769014929696023,0.0,0.0,0.0,0.0
